days,description,short description,high/low
Today,"Today: Sunny, with a high near 84. Breezy, with a west wind 7 to 12 mph increasing to 17 to 22 mph in the afternoon. Winds could gust as high as 28 mph. ",Sunny then,High: 84 °F
Tonight,"Tonight: Mostly clear, with a low around 58. West southwest wind 11 to 21 mph, with gusts as high as 25 mph. ",Mostly Clear,Low: 58 °F
Friday,"Friday: Sunny, with a high near 74. Breezy, with a west southwest wind 13 to 18 mph increasing to 20 to 25 mph in the afternoon. Winds could gust as high as 32 mph. ",Sunny then,High: 74 °F
Friday,"Friday Night: Increasing clouds, with a low around 59. Breezy, with a west southwest wind 20 to 25 mph decreasing to 13 to 18 mph in the evening. Winds could gust as high as 31 mph. ",Partly Cloudy,Low: 59 °F
Saturday,"Saturday: Partly sunny, with a high near 72. West wind 11 to 18 mph, with gusts as high as 23 mph. ",Partly Sunny,High: 72 °F
Saturday,"Saturday Night: Mostly cloudy, with a low around 61.",Mostly Cloudy,Low: 61 °F
Sunday,"Sunday: Partly sunny, with a high near 74.",Partly Sunny,High: 74 °F
Sunday,"Sunday Night: Partly cloudy, with a low around 60.",Partly Cloudy,Low: 60 °F
Monday,"Monday: Sunny, with a high near 73.",Sunny,High: 73 °F
